,cmd_str,cmd_id
122,CMDID_N_CLEAR_ABNORMALBOOT_TIMES,0x1452
123,CMDID_N_NETFLIX_KEY_WRITE,0x1274
124,CMDID_N_NETFLIX_KEY_READ,0x1275
125,CMDID_N_DID_KEY_WRITE_JOBS,0x1276
126,CMDID_N_DID_KEY_READ_JOBS,0x1277
127,CMDID_N_MIC_TEST,0x1453
128,CMDID_N_GET_MIC_RESULT,0x1454
129,CMDID_N_TVVIEW_SOUR_START,0x147C
130,CMDID_N_TVVIEW_SOUR_STOP,0x147D
131,CMDID_N_TVVIEW_SOUR_SWITCH,0x147E
132,CMDID_N_AMLOGIC_AGING_ON,0x1480
133,CMDID_N_AMLOGIC_AGING_OFF,0x1481
134,CMDID_N_SET_SCREEN_RESOLUTION,0x1486
135,CMDID_N_TEST_PATTERN_START,0x1490
136,CMDID_N_TEST_PATTERN_STOP,0x1491
137,CMDID_N_CLOSE_DSP_DAP,0x1492
138,CMDID_N_BYPASS_PQ,0x1493
139,CMDID_N_SET_GPIO_OUT_STAT,0x147F
140,CMDID_N_GET_GPIO_IN_STAT,0x1484
141,CMDID_N_SET_VCOM_I2C,0x1487
142,CMDID_N_GET_VCOM_I2C,0x1488
143,CMDID_ATV_CHANNEL_CHANGE,0x1201
144,CMDID_ATV_CHANNEL_LOAD_TAB,0x1202
145,CMDID_DTV_CHANNEL_CHANGE,0x1203
146,CMDID_DTV_CHANNEL_LOAD_TAB,0x1204
147,CMDID_WIFI_CONNECT_24AP,0x1207
148,CMDID_WIFI_CONNECT_5AP,0x1208
149,CMDID_WIFI_SPEED_START,0x1209
150,CMDID_WIFI_SPEED_STOP,0x120b
151,CMDID_WIFI_SPEED_PARA,0x120d
152,CMDID_WIFI_WAKEUP,0x1210
153,CMDID_BT_PCM_LOOPBACK,0x1211
154,CMDID_BT_THROUGH_OUTPUT,0x1212
155,CMDID_BT_FORCE_MATCH,0x1213
156,CMDID_BT_WAKEUP,0x1214
157,CMDID_BACKLIGHT_SET,0x1220
158,CMDID_BACKLIGHT_GET,0x1421
159,CMDID_AGING_ON,0x1222
160,CMDID_AGING_OFF,0x1223
